resource_geoid,category,count
36047084600,food retail,0
36047084800,food retail,1
36047085000,food retail,2
36047086200,food retail,2
36047086400,food retail,2
36047086600,food retail,5
36047086800,food retail,12
36047087000,food retail,2
36047087800,food retail,4
36047089000,food retail,9
36047089600,food retail,2
36047089800,food retail,1
36047090200,food retail,7
36047091600,food retail,6
36047092400,food retail,8
36047013500,food retail,2
36047092800,food retail,0
36047093000,food retail,2
36047095400,food retail,4
36047096400,food retail,1
36047096600,food retail,2
36047096800,food retail,2
36047097000,food retail,2
36047098400,food retail,0
36047098600,food retail,1
36047099200,food retail,2
36047099400,food retail,1
36047099600,food retail,0
36047100400,food retail,0
36047100600,food retail,0
36047100800,food retail,2
36047101000,food retail,1
36047101400,food retail,0
36047101600,food retail,0
36047102000,food retail,0
36047102400,food retail,0
36047102600,food retail,0
36047111000,food retail,0
36047112400,food retail,2
36047112600,food retail,5
36047112800,food retail,5
36047113000,food retail,1
36047113400,food retail,1
36047114600,food retail,7
36047115000,food retail,1
36047115200,food retail,6
36047115600,food retail,5
36047116000,food retail,1
36047116200,food retail,1
36047116400,food retail,1
36047117000,food retail,3
36047117201,food retail,0
36047117202,food retail,2
36047119400,food retail,2
36005003300,food retail,4
36005003500,food retail,3
36005003800,food retail,0
36005004001,food retail,1
36005017500,food retail,6
36005004400,food retail,0
36005004800,food retail,2
36005006800,food retail,4
36005007000,food retail,0
36005008900,food retail,3
36005012101,food retail,3
36005012500,food retail,3
36005013100,food retail,3
36005014300,food retail,3
36005016200,food retail,3
36005016600,food retail,0
36005017902,food retail,3
36005020200,food retail,3
36005020400,food retail,2
36005020601,food retail,1
36005021601,food retail,4
36005022102,food retail,2
36005022300,food retail,7
36005023200,food retail,2
36005023600,food retail,5
36005024300,food retail,12
36005024600,food retail,0
36005025000,food retail,3
36005025200,food retail,4
36005025400,food retail,0
36005028700,food retail,0
36005028800,food retail,0
36005030100,food retail,0
36005031200,food retail,2
36005031400,food retail,0
36005033000,food retail,6
36005036000,food retail,0
36005036502,food retail,4
36005036800,food retail,1
36005037000,food retail,0
36005037200,food retail,3
36005039200,food retail,7
36005039400,food retail,7
36005039600,food retail,1
36005039800,food retail,0
36005040100,food retail,4
36005040303,food retail,2
36005040304,food retail,8
36005040400,food retail,1
36005040501,food retail,5
36005040502,food retail,2
36005040600,food retail,0
36005040701,food retail,3
36005042200,food retail,0
36005042300,food retail,3
36005042400,food retail,0
36005042800,food retail,1
36005042902,food retail,2
36005043000,food retail,0
36005043400,food retail,0
36005043600,food retail,0
36081000200,food retail,0
36081001000,food retail,0
36081001400,food retail,0
36081001600,food retail,0
36081002800,food retail,0
36081003100,food retail,1
36081003800,food retail,0
36081003900,food retail,0
36081005100,food retail,0
36081006502,food retail,1
36081007900,food retail,0
36081009400,food retail,0
36081010200,food retail,0
36081010400,food retail,0
36081010600,food retail,0
36081011100,food retail,0
36081011200,food retail,0
36081011300,food retail,1
36081011400,food retail,0
36081011500,food retail,0
36081011600,food retail,0
36081011700,food retail,2
36081011900,food retail,0
36081012100,food retail,0
36081012400,food retail,0
36081012601,food retail,0
36081012602,food retail,0
36081012800,food retail,0
36081013000,food retail,0
36081013600,food retail,0
36081014000,food retail,0
36081014300,food retail,0
36081014500,food retail,0
36081014700,food retail,0
36081014900,food retail,0
36081015300,food retail,0
36081015400,food retail,0
36081015600,food retail,0
36081015802,food retail,0
36081016100,food retail,0
36081016400,food retail,0
36081016600,food retail,0
36081016800,food retail,0
36081017200,food retail,0
36081018000,food retail,0
36081018501,food retail,1
36081018502,food retail,0
36081019000,food retail,0
36081023000,food retail,0
36081023200,food retail,0
36081024700,food retail,0
36081025900,food retail,1
36081026100,food retail,0
36081026600,food retail,0
36081026901,food retail,0
36081026902,food retail,0
36081027000,food retail,0
36081027100,food retail,0
36081027200,food retail,1
36081027300,food retail,1
36081027400,food retail,0
36081027500,food retail,0
36081027700,food retail,0
36081027900,food retail,0
36081028000,food retail,0
36081028100,food retail,0
36081028300,food retail,0
36081028500,food retail,1
36081028700,food retail,0
36081028900,food retail,1
36081030903,food retail,0
