GEOID,category,weighted_score
36005004600,Workforce Development/HRA Job Center,13
36005004600,Workforce Development/Job Plus Site,4
36005004600,Workforce Development/Workforce1 Career Center,6
36005004600,NA,NA
36005004800,Center,515
36005004800,Family,2642
36005004800,School,216
36005004800,Store,2032
36005004800,Workforce Development/HRA Job Center,12
36005004800,Workforce Development/Job Plus Site,5
36005004800,Workforce Development/Workforce1 Career Center,7
36005004800,NA,NA
36005005001,Center,505
36005005001,Family,2614
36005005001,School,213
36005005001,Store,2027
36005005001,Workforce Development/HRA Job Center,12
36005005001,Workforce Development/Job Plus Site,5
36005005001,Workforce Development/Workforce1 Career Center,6
36005005001,NA,NA
36005005002,Center,533
36005005002,Family,2760
36005005002,School,232
36005005002,Store,2202
36005005002,Workforce Development/HRA Job Center,13
36005005002,Workforce Development/Job Plus Site,4
36005005002,Workforce Development/Workforce1 Career Center,8
36005005002,NA,NA
36005005100,Center,712
36005005100,Family,3018
36005005100,School,297
36005005100,Store,2842
36005005100,Workforce Development/HRA Job Center,17
36005005100,Workforce Development/Job Plus Site,6
36005005100,Workforce Development/Workforce1 Career Center,10
36005005100,NA,NA
36005005200,Center,530
36005005200,Family,2711
36005005200,School,223
36005005200,Store,2101
36005005200,Workforce Development/HRA Job Center,13
36005005200,Workforce Development/Job Plus Site,5
36005005200,Workforce Development/Workforce1 Career Center,7
36005005200,NA,NA
36005005300,Center,647
36005005300,Family,2857
36005005300,School,280
36005005300,Store,2725
36005005300,Workforce Development/HRA Job Center,17
36005005300,Workforce Development/Job Plus Site,7
36005005300,Workforce Development/Workforce1 Career Center,10
36005005300,NA,NA
36005005400,Center,549
36005005400,Family,2753
36005005400,School,241
36005005400,Store,2258
36005005400,Workforce Development/HRA Job Center,17
36005005400,Workforce Development/Job Plus Site,4
36005005400,Workforce Development/Workforce1 Career Center,8
36005005400,NA,NA
36005005600,Center,508
36005005600,Family,2678
36005005600,School,212
36005005600,Store,1980
36005005600,Workforce Development/HRA Job Center,10
36005005600,Workforce Development/Job Plus Site,4
36005005600,Workforce Development/Workforce1 Career Center,7
36005005600,NA,NA
36005005902,Center,628
36005005902,Family,2916
36005005902,School,266
36005005902,Store,2624
36005005902,Workforce Development/HRA Job Center,17
36005005902,Workforce Development/Job Plus Site,4
36005005902,Workforce Development/Workforce1 Career Center,9
36005005902,NA,NA
36005006000,Center,528
36005006000,Family,2829
36005006000,School,217
36005006000,Store,2082
36005006000,Workforce Development/HRA Job Center,10
36005006000,Workforce Development/Job Plus Site,4
36005006000,Workforce Development/Workforce1 Career Center,6
36005006000,NA,NA
36005006100,Center,614
36005006100,Family,2906
36005006100,School,257
36005006100,Store,2530
36005006100,Workforce Development/HRA Job Center,17
36005006100,Workforce Development/Job Plus Site,5
36005006100,Workforce Development/Workforce1 Career Center,9
36005006100,NA,NA
36005006200,Center,527
36005006200,Family,2702
36005006200,School,221
36005006200,Store,2047
36005006200,Workforce Development/HRA Job Center,13
36005006200,Workforce Development/Job Plus Site,5
36005006200,Workforce Development/Workforce1 Career Center,7
36005006200,NA,NA
36005006300,Center,636
36005006300,Family,2903
36005006300,School,273
36005006300,Store,2671
36005006300,Workforce Development/HRA Job Center,18
36005006300,Workforce Development/Job Plus Site,4
36005006300,Workforce Development/Workforce1 Career Center,10
36005006300,NA,NA
36005006400,Center,530
36005006400,Family,2609
36005006400,School,214
36005006400,Store,1942
36005006400,Workforce Development/HRA Job Center,9
36005006400,Workforce Development/Job Plus Site,4
36005006400,Workforce Development/Workforce1 Career Center,7
36005006400,NA,NA
36005006500,Center,660
36005006500,Family,2955
36005006500,School,283
36005006500,Store,2741
36005006500,Workforce Development/HRA Job Center,17
36005006500,Workforce Development/Job Plus Site,6
36005006500,Workforce Development/Workforce1 Career Center,10
36005006500,NA,NA
36005006700,Center,603
36005006700,Family,2894
36005006700,School,262
36005006700,Store,2577
36005006700,Workforce Development/HRA Job Center,17
36005006700,Workforce Development/Job Plus Site,5
36005006700,Workforce Development/Workforce1 Career Center,10
36005006700,NA,NA
36005006800,Center,510
36005006800,Family,2634
36005006800,School,217
36005006800,Store,2026
36005006800,Workforce Development/HRA Job Center,12
36005006800,Workforce Development/Job Plus Site,5
36005006800,Workforce Development/Workforce1 Career Center,6
36005006800,NA,NA
36005006900,Center,638
36005006900,Family,2949
36005006900,School,274
36005006900,Store,2631
36005006900,Workforce Development/HRA Job Center,17
36005006900,Workforce Development/Job Plus Site,6
36005006900,Workforce Development/Workforce1 Career Center,10
36005006900,NA,NA
36005007000,Center,545
36005007000,Family,2678
36005007000,School,227
36005007000,Store,2028
36005007000,Workforce Development/HRA Job Center,12
36005007000,Workforce Development/Job Plus Site,5
36005007000,Workforce Development/Workforce1 Career Center,6
36005007000,NA,NA
36005007100,Center,587
36005007100,Family,2890
36005007100,School,253
36005007100,Store,2472
36005007100,Workforce Development/HRA Job Center,17
36005007100,Workforce Development/Job Plus Site,5
36005007100,Workforce Development/Workforce1 Career Center,9
36005007100,NA,NA
36005007200,Center,544
36005007200,Family,2669
36005007200,School,227
36005007200,Store,2069
36005007200,Workforce Development/HRA Job Center,13
36005007200,Workforce Development/Job Plus Site,4
36005007200,Workforce Development/Workforce1 Career Center,8
36005007200,NA,NA
36005007300,Center,578
36005007300,Family,2862
36005007300,School,253
36005007300,Store,2482
36005007300,Workforce Development/HRA Job Center,17
36005007300,Workforce Development/Job Plus Site,4
36005007300,Workforce Development/Workforce1 Career Center,10
36005007300,NA,NA
36005007400,Center,347
36005007400,Family,1682
36005007400,School,154
36005007400,Store,1264
36005007400,Workforce Development/HRA Job Center,7
36005007400,Workforce Development/Job Plus Site,4
36005007400,Workforce Development/Workforce1 Career Center,7
36005007400,NA,NA
36005007500,Center,560
36005007500,Family,2844
36005007500,School,245
36005007500,Store,2424
36005007500,Workforce Development/HRA Job Center,14
36005007500,Workforce Development/Job Plus Site,5
36005007500,Workforce Development/Workforce1 Career Center,9
36005007500,NA,NA
36005007600,Center,560
36005007600,Family,2698
36005007600,School,232
36005007600,Store,2087
36005007600,Workforce Development/HRA Job Center,12
36005007600,Workforce Development/Job Plus Site,5
36005007600,Workforce Development/Workforce1 Career Center,8
36005007600,NA,NA
36005007700,Center,546
36005007700,Family,2834
36005007700,School,236
36005007700,Store,2373
36005007700,Workforce Development/HRA Job Center,14
36005007700,Workforce Development/Job Plus Site,4
