GEOID,category,weighted_score
36047037100,NA,NA
36047037300,Center,913
36047037300,Family,1585
36047037300,School,322
36047037300,Store,2899
36047037300,Workforce Development/HRA Job Center,14
36047037300,Workforce Development/Job Plus Site,4
36047037300,Workforce Development/Workforce1 Career Center,10
36047037300,NA,NA
36047037401,Center,626
36047037401,Family,580
36047037401,School,133
36047037401,Store,1899
36047037401,Workforce Development/HRA Job Center,5
36047037401,Workforce Development/Workforce1 Career Center,4
36047037401,NA,NA
36047037402,Center,609
36047037402,Family,581
36047037402,School,139
36047037402,Store,1902
36047037402,Workforce Development/HRA Job Center,5
36047037402,Workforce Development/Workforce1 Career Center,5
36047037402,NA,NA
36047037500,Center,898
36047037500,Family,1537
36047037500,School,319
36047037500,Store,2957
36047037500,Workforce Development/HRA Job Center,13
36047037500,Workforce Development/Job Plus Site,4
36047037500,Workforce Development/Workforce1 Career Center,10
36047037500,NA,NA
36047037700,Center,899
36047037700,Family,1506
36047037700,School,299
36047037700,Store,2853
36047037700,Workforce Development/HRA Job Center,12
36047037700,Workforce Development/Job Plus Site,4
36047037700,Workforce Development/Workforce1 Career Center,10
36047037700,NA,NA
36047037900,Center,1016
36047037900,Family,1584
36047037900,School,310
36047037900,Store,3097
36047037900,Workforce Development/HRA Job Center,12
36047037900,Workforce Development/Job Plus Site,4
36047037900,Workforce Development/Workforce1 Career Center,10
36047037900,NA,NA
36047038100,Center,960
36047038100,Family,1627
36047038100,School,316
36047038100,Store,3045
36047038100,Workforce Development/HRA Job Center,13
36047038100,Workforce Development/Job Plus Site,4
36047038100,Workforce Development/Workforce1 Career Center,10
36047038100,NA,NA
36047038200,Center,529
36047038200,Family,436
36047038200,School,117
36047038200,Store,1773
36047038200,Workforce Development/HRA Job Center,5
36047038200,Workforce Development/Workforce1 Career Center,4
36047038200,NA,NA
36047038300,Center,841
36047038300,Family,1518
36047038300,School,292
36047038300,Store,2711
36047038300,Workforce Development/HRA Job Center,13
36047038300,Workforce Development/Job Plus Site,4
36047038300,Workforce Development/Workforce1 Career Center,10
36047038300,NA,NA
36047038500,Center,816
36047038500,Family,1460
36047038500,School,291
36047038500,Store,2735
36047038500,Workforce Development/HRA Job Center,12
36047038500,Workforce Development/Job Plus Site,4
36047038500,Workforce Development/Workforce1 Career Center,10
36047038500,NA,NA
36047038600,Center,704
36047038600,Family,668
36047038600,School,162
36047038600,Store,2184
36047038600,Workforce Development/HRA Job Center,8
36047038600,Workforce Development/Workforce1 Career Center,6
36047038600,NA,NA
36047038700,Center,857
36047038700,Family,1491
36047038700,School,307
36047038700,Store,2867
36047038700,Workforce Development/HRA Job Center,13
36047038700,Workforce Development/Job Plus Site,4
36047038700,Workforce Development/Workforce1 Career Center,8
36047038700,NA,NA
36047038800,Center,650
36047038800,Family,616
36047038800,School,148
36047038800,Store,1996
36047038800,Workforce Development/HRA Job Center,5
36047038800,Workforce Development/Workforce1 Career Center,5
36047038800,NA,NA
36047038900,Center,983
36047038900,Family,1654
36047038900,School,343
36047038900,Store,3262
36047038900,Workforce Development/HRA Job Center,15
36047038900,Workforce Development/Job Plus Site,5
36047038900,Workforce Development/Workforce1 Career Center,11
36047038900,NA,NA
36047039000,Center,684
36047039000,Family,698
36047039000,School,150
36047039000,Store,2094
36047039000,Workforce Development/HRA Job Center,5
36047039000,Workforce Development/Workforce1 Career Center,5
36047039000,NA,NA
36047039100,Center,1046
36047039100,Family,1726
36047039100,School,364
36047039100,Store,3369
36047039100,Workforce Development/HRA Job Center,19
36047039100,Workforce Development/Job Plus Site,5
36047039100,Workforce Development/Workforce1 Career Center,11
36047039100,NA,NA
36047039200,Center,685
36047039200,Family,726
36047039200,School,156
36047039200,Store,2130
36047039200,Workforce Development/HRA Job Center,8
36047039200,Workforce Development/Workforce1 Career Center,5
36047039200,NA,NA
36047039300,Center,941
36047039300,Family,1690
36047039300,School,342
36047039300,Store,3092
36047039300,Workforce Development/HRA Job Center,15
36047039300,Workforce Development/Job Plus Site,5
36047039300,Workforce Development/Workforce1 Career Center,10
36047039300,NA,NA
36047039400,Center,700
36047039400,Family,742
36047039400,School,161
36047039400,Store,2142
36047039400,Workforce Development/HRA Job Center,8
36047039400,Workforce Development/Workforce1 Career Center,5
36047039400,NA,NA
36047039500,Center,837
36047039500,Family,1448
36047039500,School,303
36047039500,Store,2733
36047039500,Workforce Development/HRA Job Center,13
36047039500,Workforce Development/Job Plus Site,4
36047039500,Workforce Development/Workforce1 Career Center,8
36047039500,NA,NA
36047039600,Center,728
36047039600,Family,775
36047039600,School,176
36047039600,Store,2284
36047039600,Workforce Development/HRA Job Center,6
36047039600,Workforce Development/Job Plus Site,1
36047039600,Workforce Development/Workforce1 Career Center,5
36047039600,NA,NA
36047039700,Center,904
36047039700,Family,1567
36047039700,School,322
36047039700,Store,2958
36047039700,Workforce Development/HRA Job Center,14
36047039700,Workforce Development/Job Plus Site,4
36047039700,Workforce Development/Workforce1 Career Center,11
36047039700,NA,NA
36047039800,Center,730
36047039800,Family,720
36047039800,School,171
36047039800,Store,2334
36047039800,Workforce Development/HRA Job Center,9
36047039800,Workforce Development/Job Plus Site,1
36047039800,Workforce Development/Workforce1 Career Center,6
36047039800,NA,NA
36047039900,Center,778
36047039900,Family,1419
36047039900,School,287
36047039900,Store,2604
36047039900,Workforce Development/HRA Job Center,13
36047039900,Workforce Development/Job Plus Site,4
36047039900,Workforce Development/Workforce1 Career Center,9
36047039900,NA,NA
36047040000,Center,738
36047040000,Family,766
36047040000,School,171
36047040000,Store,2314
36047040000,Workforce Development/HRA Job Center,9
36047040000,Workforce Development/Job Plus Site,1
36047040000,Workforce Development/Workforce1 Career Center,6
36047040000,NA,NA
36047040100,Center,859
36047040100,Family,1502
36047040100,School,306
36047040100,Store,2682
36047040100,Workforce Development/HRA Job Center,13
36047040100,Workforce Development/Job Plus Site,4
36047040100,Workforce Development/Workforce1 Career Center,10
36047040100,NA,NA
36047040200,Center,709
36047040200,Family,670
36047040200,School,158
36047040200,Store,2229
36047040200,Workforce Development/HRA Job Center,9
36047040200,Workforce Development/Job Plus Site,1
36047040200,Workforce Development/Workforce1 Career Center,6
36047040200,NA,NA
36047040300,Center,918
36047040300,Family,1690
36047040300,School,328
36047040300,Store,2752
36047040300,Workforce Development/HRA Job Center,14
36047040300,Workforce Development/Job Plus Site,4
36047040300,Workforce Development/Workforce1 Career Center,11
36047040300,NA,NA
36047040400,Center,729
36047040400,Family,736
36047040400,School,162
36047040400,Store,2248
36047040400,Workforce Development/HRA Job Center,9
36047040400,Workforce Development/Job Plus Site,1
36047040400,Workforce Development/Workforce1 Career Center,6
36047040400,NA,NA
36047040500,Center,992
36047040500,Family,1773
36047040500,School,348
36047040500,Store,2939
36047040500,Workforce Development/HRA Job Center,14
36047040500,Workforce Development/Job Plus Site,4
36047040500,Workforce Development/Workforce1 Career Center,11
36047040500,NA,NA
36047040600,Center,737
36047040600,Family,778
36047040600,School,169
36047040600,Store,2291
36047040600,Workforce Development/HRA Job Center,9
36047040600,Workforce Development/Job Plus Site,1
36047040600,Workforce Development/Workforce1 Career Center,6
36047040600,NA,NA
36047040700,Center,880
36047040700,Family,1586
36047040700,School,306
36047040700,Store,2604
36047040700,Workforce Development/HRA Job Center,13
36047040700,Workforce Development/Job Plus Site,4
36047040700,Workforce Development/Workforce1 Career Center,10
36047040700,NA,NA
36047040800,Center,775
36047040800,Family,833
36047040800,School,189
36047040800,Store,2519
36047040800,Workforce Development/HRA Job Center,10
36047040800,Workforce Development/Job Plus Site,1
36047040800,Workforce Development/Workforce1 Career Center,7
36047040800,NA,NA
36047040900,Center,756
36047040900,Family,1292
36047040900,School,277
36047040900,Store,2495
36047040900,Workforce Development/HRA Job Center,13
36047040900,Workforce Development/Job Plus Site,4
36047040900,Workforce Development/Workforce1 Career Center,9
36047040900,NA,NA
36047041000,Center,750
36047041000,Family,812
36047041000,School,181
36047041000,Store,2360
36047041000,Workforce Development/HRA Job Center,9
36047041000,Workforce Development/Job Plus Site,1
36047041000,Workforce Development/Workforce1 Career Center,5
36047041000,NA,NA
36047041100,Center,839
36047041100,Family,1482
36047041100,School,305
36047041100,Store,2531
36047041100,Workforce Development/HRA Job Center,13
36047041100,Workforce Development/Job Plus Site,4
36047041100,Workforce Development/Workforce1 Career Center,11
36047041100,NA,NA
36047041200,Center,818
36047041200,Family,890
36047041200,School,201
36047041200,Store,2537
36047041200,Workforce Development/HRA Job Center,10
36047041200,Workforce Development/Job Plus Site,2
36047041200,Workforce Development/Workforce1 Career Center,6
36047041200,NA,NA
36047041300,Center,737
36047041300,Family,1379
36047041300,School,272
36047041300,Store,2379
36047041300,Workforce Development/HRA Job Center,12
36047041300,Workforce Development/Job Plus Site,4
36047041300,Workforce Development/Workforce1 Career Center,8
36047041300,NA,NA
36047041401,Center,798
36047041401,Family,862
36047041401,School,198
36047041401,Store,2547
36047041401,Workforce Development/HRA Job Center,7
36047041401,Workforce Development/Job Plus Site,1
36047041401,Workforce Development/Workforce1 Career Center,6
36047041401,NA,NA
36047041402,Center,768
36047041402,Family,824
36047041402,School,183
36047041402,Store,2382
36047041402,Workforce Development/HRA Job Center,9
36047041402,Workforce Development/Job Plus Site,1
36047041402,Workforce Development/Workforce1 Career Center,6
36047041402,NA,NA
36047041500,Center,711
36047041500,Family,1292
36047041500,School,264
36047041500,Store,2286
36047041500,Workforce Development/HRA Job Center,12
36047041500,Workforce Development/Job Plus Site,4
36047041500,Workforce Development/Workforce1 Career Center,8
36047041500,NA,NA
36047041600,Center,755
36047041600,Family,834
36047041600,School,178
36047041600,Store,2310
36047041600,Workforce Development/HRA Job Center,8
36047041600,Workforce Development/Workforce1 Career Center,7
36047041600,NA,NA
36047041700,Center,792
36047041700,Family,1438
36047041700,School,293
36047041700,Store,2494
36047041700,Workforce Development/HRA Job Center,13
36047041700,Workforce Development/Job Plus Site,4
36047041700,Workforce Development/Workforce1 Career Center,9
36047041700,NA,NA
36047041800,Center,786
36047041800,Family,889
36047041800,School,198
36047041800,Store,2531
36047041800,Workforce Development/HRA Job Center,9
36047041800,Workforce Development/Workforce1 Career Center,8
36047041800,NA,NA
36047041900,Center,717
36047041900,Family,1298
36047041900,School,276
36047041900,Store,2527
36047041900,Workforce Development/HRA Job Center,12
36047041900,Workforce Development/Job Plus Site,4
36047041900,Workforce Development/Workforce1 Career Center,9
36047041900,NA,NA
36047042000,Center,812
36047042000,Family,938
36047042000,School,209
36047042000,Store,2642
36047042000,Workforce Development/HRA Job Center,10
36047042000,Workforce Development/Job Plus Site,1
36047042000,Workforce Development/Workforce1 Career Center,8
36047042000,NA,NA
36047042100,Center,814
36047042100,Family,1528
36047042100,School,316
36047042100,Store,2860
36047042100,Workforce Development/HRA Job Center,15
36047042100,Workforce Development/Job Plus Site,5
36047042100,Workforce Development/Workforce1 Career Center,9
36047042100,NA,NA
36047042200,Center,809
36047042200,Family,865
36047042200,School,195
36047042200,Store,2476
36047042200,Workforce Development/HRA Job Center,8
36047042200,Workforce Development/Job Plus Site,1
36047042200,Workforce Development/Workforce1 Career Center,6
36047042200,NA,NA
36047042300,Center,819
36047042300,Family,1504
36047042300,School,315
36047042300,Store,2869
36047042300,Workforce Development/HRA Job Center,15
36047042300,Workforce Development/Job Plus Site,5
36047042300,Workforce Development/Workforce1 Career Center,9
36047042300,NA,NA
36047042400,Center,764
36047042400,Family,821
36047042400,School,184
36047042400,Store,2395
36047042400,Workforce Development/HRA Job Center,9
36047042400,Workforce Development/Job Plus Site,1
36047042400,Workforce Development/Workforce1 Career Center,6
36047042400,NA,NA
36047042500,Center,829
36047042500,Family,1421
36047042500,School,313
36047042500,Store,2814
36047042500,Workforce Development/HRA Job Center,13
36047042500,Workforce Development/Job Plus Site,6
36047042500,Workforce Development/Workforce1 Career Center,10
36047042500,NA,NA
36047042600,Center,807
36047042600,Family,904
36047042600,School,206
36047042600,Store,2685
36047042600,Workforce Development/HRA Job Center,9
36047042600,Workforce Development/Job Plus Site,2
36047042600,Workforce Development/Workforce1 Career Center,8
36047042600,NA,NA
36047042700,Center,892
36047042700,Family,1600
36047042700,School,340
36047042700,Store,2922
36047042700,Workforce Development/HRA Job Center,18
36047042700,Workforce Development/Job Plus Site,7
36047042700,Workforce Development/Workforce1 Career Center,9
36047042700,NA,NA
36047042800,Center,757
36047042800,Family,801
36047042800,School,179
36047042800,Store,2374
36047042800,Workforce Development/HRA Job Center,9
36047042800,Workforce Development/Job Plus Site,1
36047042800,Workforce Development/Workforce1 Career Center,6
36047042800,NA,NA
36047042900,Center,775
36047042900,Family,1382
36047042900,School,301
36047042900,Store,2616
36047042900,Workforce Development/HRA Job Center,13
36047042900,Workforce Development/Job Plus Site,5
36047042900,Workforce Development/Workforce1 Career Center,8
36047042900,NA,NA
36047043000,Center,789
36047043000,Family,825
36047043000,School,193
36047043000,Store,2569
36047043000,Workforce Development/HRA Job Center,10
36047043000,Workforce Development/Job Plus Site,1
36047043000,Workforce Development/Workforce1 Career Center,7
36047043000,NA,NA
36047043100,Center,794
36047043100,Family,1453
36047043100,School,311
36047043100,Store,2794
36047043100,Workforce Development/HRA Job Center,15
36047043100,Workforce Development/Job Plus Site,5
36047043100,Workforce Development/Workforce1 Career Center,10
36047043100,NA,NA
36047043200,Center,828
36047043200,Family,896
36047043200,School,212
36047043200,Store,2785
36047043200,Workforce Development/HRA Job Center,9
36047043200,Workforce Development/Workforce1 Career Center,8
36047043200,NA,NA
36047043300,Center,763
36047043300,Family,1358
36047043300,School,296
36047043300,Store,2587
36047043300,Workforce Development/HRA Job Center,13
36047043300,Workforce Development/Job Plus Site,4
36047043300,Workforce Development/Workforce1 Career Center,9
36047043300,NA,NA
36047043400,Center,793
36047043400,Family,809
36047043400,School,185
36047043400,Store,2505
36047043400,Workforce Development/HRA Job Center,10
36047043400,Workforce Development/Job Plus Site,1
36047043400,Workforce Development/Workforce1 Career Center,6
36047043400,NA,NA
36047043500,Center,704
36047043500,Family,1248
36047043500,School,263
36047043500,Store,2416
36047043500,Workforce Development/HRA Job Center,13
36047043500,Workforce Development/Job Plus Site,4
36047043500,Workforce Development/Workforce1 Career Center,8
36047043500,NA,NA
36047043600,Center,751
36047043600,Family,719
36047043600,School,177
36047043600,Store,2376
36047043600,Workforce Development/HRA Job Center,9
36047043600,Workforce Development/Job Plus Site,1
36047043600,Workforce Development/Workforce1 Career Center,6
36047043600,NA,NA
36047043700,Center,715
36047043700,Family,1301
36047043700,School,273
36047043700,Store,2415
36047043700,Workforce Development/HRA Job Center,12
36047043700,Workforce Development/Job Plus Site,4
36047043700,Workforce Development/Workforce1 Career Center,9
36047043700,NA,NA
36047043800,Center,737
36047043800,Family,752
36047043800,School,174
36047043800,Store,2323
36047043800,Workforce Development/HRA Job Center,6
36047043800,Workforce Development/Job Plus Site,1
36047043800,Workforce Development/Workforce1 Career Center,5
36047043800,NA,NA
36047043900,Center,827
36047043900,Family,1452
36047043900,School,313
36047043900,Store,2723
36047043900,Workforce Development/HRA Job Center,13
36047043900,Workforce Development/Job Plus Site,5
36047043900,Workforce Development/Workforce1 Career Center,9
36047043900,NA,NA
36047044000,Center,780
36047044000,Family,798
36047044000,School,188
36047044000,Store,2500
36047044000,Workforce Development/HRA Job Center,7
36047044000,Workforce Development/Job Plus Site,1
36047044000,Workforce Development/Workforce1 Career Center,7
36047044000,NA,NA
36047044100,Center,851
36047044100,Family,1587
36047044100,School,325
36047044100,Store,2802
36047044100,Workforce Development/HRA Job Center,17
36047044100,Workforce Development/Job Plus Site,6
36047044100,Workforce Development/Workforce1 Career Center,10
36047044100,NA,NA
36047044200,Center,731
36047044200,Family,782
36047044200,School,166
36047044200,Store,2270
36047044200,Workforce Development/HRA Job Center,9
36047044200,Workforce Development/Workforce1 Career Center,6
36047044200,NA,NA
36047044300,Center,937
36047044300,Family,1965
36047044300,School,364
36047044300,Store,3286
36047044300,Workforce Development/HRA Job Center,17
36047044300,Workforce Development/Job Plus Site,7
36047044300,Workforce Development/Workforce1 Career Center,10
36047044300,NA,NA
36047044400,Center,787
36047044400,Family,890
36047044400,School,198
36047044400,Store,2506
36047044400,Workforce Development/HRA Job Center,9
36047044400,Workforce Development/Job Plus Site,3
36047044400,Workforce Development/Workforce1 Career Center,5
36047044400,NA,NA
36047044500,Center,958
36047044500,Family,2014
36047044500,School,374
36047044500,Store,3266
36047044500,Workforce Development/HRA Job Center,20
36047044500,Workforce Development/Job Plus Site,7
36047044500,Workforce Development/Workforce1 Career Center,10
36047044500,NA,NA
36047044600,Center,801
36047044600,Family,808
36047044600,School,196
36047044600,Store,2620
36047044600,Workforce Development/HRA Job Center,11
36047044600,Workforce Development/Job Plus Site,2
36047044600,Workforce Development/Workforce1 Career Center,7
36047044600,NA,NA
36047044700,Center,1006
36047044700,Family,2179
36047044700,School,390
36047044700,Store,3370
36047044700,Workforce Development/HRA Job Center,19
36047044700,Workforce Development/Job Plus Site,8
36047044700,Workforce Development/Workforce1 Career Center,12
36047044700,NA,NA
36047044800,Center,776
36047044800,Family,789
36047044800,School,184
36047044800,Store,2406
36047044800,Workforce Development/HRA Job Center,9
36047044800,Workforce Development/Job Plus Site,1
36047044800,Workforce Development/Workforce1 Career Center,5
36047044800,NA,NA
36047044900,Center,831
36047044900,Family,1530
36047044900,School,336
36047044900,Store,2924
36047044900,Workforce Development/HRA Job Center,20
36047044900,Workforce Development/Job Plus Site,8
36047044900,Workforce Development/Workforce1 Career Center,13
36047044900,NA,NA
36047045000,Center,826
36047045000,Family,851
36047045000,School,210
36047045000,Store,2808
36047045000,Workforce Development/HRA Job Center,11
36047045000,Workforce Development/Job Plus Site,3
36047045000,Workforce Development/Workforce1 Career Center,8
36047045000,NA,NA
36047045200,Center,737
36047045200,Family,796
36047045200,School,182
36047045200,Store,2316
36047045200,Workforce Development/HRA Job Center,8
36047045200,Workforce Development/Workforce1 Career Center,7
36047045200,NA,NA
36047045300,Center,992
36047045300,Family,2112
36047045300,School,374
36047045300,Store,3378
36047045300,Workforce Development/HRA Job Center,18
36047045300,Workforce Development/Job Plus Site,7
36047045300,Workforce Development/Workforce1 Career Center,9
36047045300,NA,NA
36047045400,Center,819
36047045400,Family,899
36047045400,School,211
36047045400,Store,2756
36047045400,Workforce Development/HRA Job Center,10
36047045400,Workforce Development/Job Plus Site,1
36047045400,Workforce Development/Workforce1 Career Center,8
36047045400,NA,NA
36047045600,Center,845
36047045600,Family,969
36047045600,School,219
36047045600,Store,2878
36047045600,Workforce Development/HRA Job Center,11
36047045600,Workforce Development/Job Plus Site,2
36047045600,Workforce Development/Workforce1 Career Center,8
36047045600,NA,NA
36047045800,Center,816
36047045800,Family,865
36047045800,School,203
36047045800,Store,2766
36047045800,Workforce Development/HRA Job Center,11
36047045800,Workforce Development/Job Plus Site,2
36047045800,Workforce Development/Workforce1 Career Center,8
36047045800,NA,NA
36047046000,Center,847
36047046000,Family,982
36047046000,School,226
36047046000,Store,2995
36047046000,Workforce Development/HRA Job Center,11
36047046000,Workforce Development/Job Plus Site,2
36047046000,Workforce Development/Workforce1 Career Center,8
36047046000,NA,NA
36047046201,Center,820
36047046201,Family,835
36047046201,School,203
36047046201,Store,2721
36047046201,Workforce Development/HRA Job Center,11
36047046201,Workforce Development/Job Plus Site,3
36047046201,Workforce Development/Workforce1 Career Center,8
36047046201,NA,NA
36047046202,Center,807
36047046202,Family,802
36047046202,School,207
36047046202,Store,2723
36047046202,Workforce Development/HRA Job Center,11
36047046202,Workforce Development/Job Plus Site,2
36047046202,Workforce Development/Workforce1 Career Center,7
36047046202,NA,NA
36047046400,Center,798
36047046400,Family,757
36047046400,School,203
36047046400,Store,2730
36047046400,Workforce Development/HRA Job Center,11
36047046400,Workforce Development/Job Plus Site,2
36047046400,Workforce Development/Workforce1 Career Center,7
36047046400,NA,NA
36047046800,Center,771
36047046800,Family,725
36047046800,School,185
36047046800,Store,2526
36047046800,Workforce Development/HRA Job Center,10
36047046800,Workforce Development/Job Plus Site,1
36047046800,Workforce Development/Workforce1 Career Center,8
36047046800,NA,NA
36047047000,Center,734
36047047000,Family,688
36047047000,School,172
36047047000,Store,2358
36047047000,Workforce Development/HRA Job Center,9
36047047000,Workforce Development/Workforce1 Career Center,7
36047047000,NA,NA
36047047200,Center,750
36047047200,Family,700
36047047200,School,176
36047047200,Store,2425
36047047200,Workforce Development/HRA Job Center,10
36047047200,Workforce Development/Job Plus Site,1
36047047200,Workforce Development/Workforce1 Career Center,7
36047047200,NA,NA
36047047400,Center,780
36047047400,Family,754
36047047400,School,193
36047047400,Store,2600
36047047400,Workforce Development/HRA Job Center,11
36047047400,Workforce Development/Job Plus Site,2
36047047400,Workforce Development/Workforce1 Career Center,7
36047047400,NA,NA
36047047600,Center,779
36047047600,Family,712
36047047600,School,188
36047047600,Store,2592
36047047600,Workforce Development/HRA Job Center,11
36047047600,Workforce Development/Job Plus Site,2
36047047600,Workforce Development/Workforce1 Career Center,7
36047047600,NA,NA
36047047700,Center,1005
36047047700,Family,2161
36047047700,School,389
36047047700,Store,3433
36047047700,Workforce Development/HRA Job Center,20
36047047700,Workforce Development/Job Plus Site,8
36047047700,Workforce Development/Workforce1 Career Center,13
36047047700,NA,NA
36047047800,Center,841
36047047800,Family,839
36047047800,School,210
36047047800,Store,2907
36047047800,Workforce Development/HRA Job Center,11
36047047800,Workforce Development/Job Plus Site,2
36047047800,Workforce Development/Workforce1 Career Center,7
36047047800,NA,NA
36047048000,Center,845
36047048000,Family,876
36047048000,School,218
36047048000,Store,2921
36047048000,Workforce Development/HRA Job Center,11
36047048000,Workforce Development/Job Plus Site,2
36047048000,Workforce Development/Workforce1 Career Center,7
36047048000,NA,NA
36047048100,Center,1041
36047048100,Family,2306
36047048100,School,393
36047048100,Store,3596
36047048100,Workforce Development/HRA Job Center,18
36047048100,Workforce Development/Job Plus Site,8
36047048100,Workforce Development/Workforce1 Career Center,10
36047048100,NA,NA
36047048200,Center,852
36047048200,Family,975
36047048200,School,223
36047048200,Store,2952
36047048200,Workforce Development/HRA Job Center,11
36047048200,Workforce Development/Job Plus Site,2
36047048200,Workforce Development/Workforce1 Career Center,8
36047048200,NA,NA
36047048400,Center,814
36047048400,Family,822
36047048400,School,200
36047048400,Store,2680
36047048400,Workforce Development/HRA Job Center,11
36047048400,Workforce Development/Job Plus Site,2
36047048400,Workforce Development/Workforce1 Career Center,8
36047048400,NA,NA
36047048500,Center,1069
36047048500,Family,2210
36047048500,School,381
36047048500,Store,3604
36047048500,Workforce Development/HRA Job Center,15
36047048500,Workforce Development/Job Plus Site,8
36047048500,Workforce Development/Workforce1 Career Center,9
36047048500,NA,NA
36047048600,Center,890
36047048600,Family,991
36047048600,School,238
36047048600,Store,3126
36047048600,Workforce Development/HRA Job Center,11
36047048600,Workforce Development/Job Plus Site,3
36047048600,Workforce Development/Workforce1 Career Center,7
36047048600,NA,NA
36047048800,Center,873
36047048800,Family,977
36047048800,School,234
36047048800,Store,3072
36047048800,Workforce Development/HRA Job Center,11
36047048800,Workforce Development/Job Plus Site,3
36047048800,Workforce Development/Workforce1 Career Center,7
36047048800,NA,NA
36047048900,Center,977
36047048900,Family,1786
36047048900,School,359
36047048900,Store,3160
36047048900,Workforce Development/HRA Job Center,20
36047048900,Workforce Development/Job Plus Site,8
36047048900,Workforce Development/Workforce1 Career Center,12
36047048900,NA,NA
36047049000,Center,870
36047049000,Family,966
36047049000,School,236
36047049000,Store,2994
36047049000,Workforce Development/HRA Job Center,11
36047049000,Workforce Development/Job Plus Site,3
36047049000,Workforce Development/Workforce1 Career Center,8
36047049000,NA,NA
36047049100,Center,1132
36047049100,Family,1933
36047049100,School,394
36047049100,Store,3654
36047049100,Workforce Development/HRA Job Center,20
36047049100,Workforce Development/Job Plus Site,8
36047049100,Workforce Development/Workforce1 Career Center,13
36047049100,NA,NA
36047049200,Center,870
36047049200,Family,1012
36047049200,School,242
36047049200,Store,3081
36047049200,Workforce Development/HRA Job Center,11
36047049200,Workforce Development/Job Plus Site,4
36047049200,Workforce Development/Workforce1 Career Center,8
36047049200,NA,NA
36047049300,Center,1150
36047049300,Family,2899
36047049300,School,424
36047049300,Store,3941
36047049300,Workforce Development/HRA Job Center,20
36047049300,Workforce Development/Job Plus Site,8
36047049300,Workforce Development/Workforce1 Career Center,15
36047049300,NA,NA
36047049400,Center,927
36047049400,Family,1088
36047049400,School,261
36047049400,Store,3338
36047049400,Workforce Development/HRA Job Center,11
36047049400,Workforce Development/Job Plus Site,3
36047049400,Workforce Development/Workforce1 Career Center,8
36047049400,NA,NA
36047049500,Center,1198
36047049500,Family,2927
36047049500,School,431
36047049500,Store,3982
36047049500,Workforce Development/HRA Job Center,18
36047049500,Workforce Development/Job Plus Site,8
36047049500,Workforce Development/Workforce1 Career Center,11
36047049500,NA,NA
36047049600,Center,907
36047049600,Family,1024
36047049600,School,245
36047049600,Store,3202
36047049600,Workforce Development/HRA Job Center,11
36047049600,Workforce Development/Job Plus Site,3
36047049600,Workforce Development/Workforce1 Career Center,7
36047049600,NA,NA
36047049700,Center,1180
36047049700,Family,3040
36047049700,School,432
36047049700,Store,3939
36047049700,Workforce Development/HRA Job Center,18
36047049700,Workforce Development/Job Plus Site,8
36047049700,Workforce Development/Workforce1 Career Center,13
36047049700,NA,NA
36047049800,Center,901
36047049800,Family,1009
36047049800,School,242
36047049800,Store,3184
36047049800,Workforce Development/HRA Job Center,11
36047049800,Workforce Development/Job Plus Site,3
36047049800,Workforce Development/Workforce1 Career Center,7
36047049800,NA,NA
36047049900,Center,1198
36047049900,Family,2316
36047049900,School,417
36047049900,Store,3662
36047049900,Workforce Development/HRA Job Center,20
36047049900,Workforce Development/Job Plus Site,8
36047049900,Workforce Development/Workforce1 Career Center,14
36047049900,NA,NA
36047050000,Center,899
36047050000,Family,1000
36047050000,School,241
36047050000,Store,3156
36047050000,Workforce Development/HRA Job Center,11
36047050000,Workforce Development/Job Plus Site,3
36047050000,Workforce Development/Workforce1 Career Center,8
36047050000,NA,NA
36047050100,Center,1333
36047050100,Family,3151
36047050100,School,451
36047050100,Store,4307
36047050100,Workforce Development/HRA Job Center,20
36047050100,Workforce Development/Job Plus Site,8
36047050100,Workforce Development/Workforce1 Career Center,15
36047050100,NA,NA
36047050202,Center,915
36047050202,Family,1044
36047050202,School,251
36047050202,Store,3255
36047050202,Workforce Development/HRA Job Center,11
36047050202,Workforce Development/Job Plus Site,2
36047050202,Workforce Development/Workforce1 Career Center,7
36047050202,NA,NA
36047050300,Center,1369
36047050300,Family,3020
36047050300,School,453
36047050300,Store,4281
36047050300,Workforce Development/HRA Job Center,20
36047050300,Workforce Development/Job Plus Site,8
36047050300,Workforce Development/Workforce1 Career Center,15
36047050300,NA,NA
36047050400,Center,921
36047050400,Family,1074
36047050400,School,254
36047050400,Store,3270
36047050400,Workforce Development/HRA Job Center,11
36047050400,Workforce Development/Job Plus Site,3
36047050400,Workforce Development/Workforce1 Career Center,8
36047050400,NA,NA
36047050500,Center,1209
36047050500,Family,2173
36047050500,School,401
36047050500,Store,3838
36047050500,Workforce Development/HRA Job Center,20
36047050500,Workforce Development/Job Plus Site,8
36047050500,Workforce Development/Workforce1 Career Center,13
36047050500,NA,NA
36047050600,Center,963
36047050600,Family,1187
36047050600,School,277
36047050600,Store,3485
36047050600,Workforce Development/HRA Job Center,12
36047050600,Workforce Development/Job Plus Site,4
36047050600,Workforce Development/Workforce1 Career Center,8
36047050600,NA,NA
36047050700,Center,1274
36047050700,Family,2107
36047050700,School,426
36047050700,Store,3943
36047050700,Workforce Development/HRA Job Center,19
36047050700,Workforce Development/Job Plus Site,7
36047050700,Workforce Development/Workforce1 Career Center,14
36047050700,NA,NA
36047050801,Center,979
36047050801,Family,1220
36047050801,School,291
36047050801,Store,3550
